ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
39,1801.T,大成建設,56.4,42,67,76,⏸️ 様子見,17340.0,9.6,0.01,0.10960659387508585,3.64,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(3.6倍) / ⚠ペナルティ1件
40,5842.T,インテグラル,56.0,58,35,72,⏸️ 様子見,3290.0,,,0.037527593818984545,,startup_growth,政策(startup_growth)
41,6146.T,ディスコ,56.0,34,49,84,⏸️ 様子見,69610.0,32.0,0.05,0.15490663834643673,1.16,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
42,2998.T,クリアル,55.9,56,37,72,⏸️ 様子見,822.0,,,0.05758098866812012,,startup_growth,政策(startup_growth)
43,7011.T,三菱重工業,55.4,44,45,90,⏸️ 様子見,4745.0,28.52,0.01,0.029742919415490413,8.19,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(8.2倍) / ⚠ペナルティ1件
44,5253.T,カバー,55.2,43,50,72,⏸️ 様子見,1628.0,,,0.5515370705244123,2.82,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
45,4307.T,野村総合研究所,55.2,52,49,78,⏸️ 様子見,4305.0,38.8,0.06,0.15996308567451853,17.69,ai_digital,政策(ai_digital) / ⚠信用過熱(17.7倍) / ⚠ペナルティ1件
46,1861.T,熊谷組,55.0,38,67,76,⏸️ 様子見,1654.0,7.8,0.01,0.10940885647144993,8.61,infrastructure,政策(infrastructure) / RSI底値圏 / 割安 / ⚠信用過熱(8.6倍) / ⚠ペナルティ1件
47,4523.T,エーザイ,55.0,49,45,84,⏸️ 様子見,4829.0,50.7,0.03,0.05978041650453748,12.35,"semiconductor, medical","🏛️政策主力(semiconductor, medical) / GC形成中 / 75日MA上 / ⚠信用過熱(12.3倍) / ⚠ペナルティ1件"
48,5243.T,note,54.8,83,35,72,⏸️ 様子見,2510.0,,,-0.3487220907409112,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
49,7741.T,HOYA,54.6,54,49,60,⏸️ 様子見,27765.0,38.7,0.07,0.18200726744186047,1.2,medical,GC形成中 / 75日MA上
50,6027.T,弁護士ドットコム,54.1,44,35,72,⏸️ 様子見,2765.0,2998.7,0.88,0.029438130120350285,0.89,startup_growth,政策(startup_growth) / 信用良好(0.9倍) / ⚠ペナルティ1件
51,7806.T,MTG,53.8,66,35,72,⏸️ 様子見,6270.0,39.54,0.02,0.04556455227225194,3.22,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(3.2倍) / ⚠ペナルティ1件
52,3915.T,テラスカイ,53.8,26,65,72,⏸️ 様子見,1636.0,18.89,0.04,0.23527149768602018,2.77,startup_growth,政策(startup_growth)
53,5020.T,ENEOSホールディングス,53.6,49,52,74,⏸️ 様子見,1364.0,14.14,0.01,0.049029120367742055,6.89,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(6.9倍) / ⚠ペナルティ1件
54,4413.T,ボードルア,53.4,52,50,72,⏸️ 様子見,2016.0,,,0.32544086401989075,190.06,startup_growth,政策(startup_growth) / ⚠信用過熱(190.1倍) / ⚠ペナルティ1件
55,6030.T,アドベンチャー,53.3,35,53,72,⏸️ 様子見,1776.0,60.7,0.22,0.3679506311078882,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
56,3496.T,アズーム,53.2,49,53,72,⏸️ 様子見,4625.0,42.9,0.11,0.25192815355120757,1206.0,startup_growth,政策(startup_growth) / ⚠信用過熱(1206.0倍) / ⚠ペナルティ1件
57,7388.T,FPパートナー,53.1,37,50,72,⏸️ 様子見,2255.0,,,0.28737790219180454,1.74,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上
58,6702.T,富士通,53.1,23,62,90,⏸️ 様子見,3575.0,15.78,0.02,0.13103584253719525,29.9,defense,🏛️政策主力(defense) / ⚠信用過熱(29.9倍) / ⚠ペナルティ1件
59,8001.T,伊藤忠商事,52.8,44,62,68,⏸️ 様子見,2071.0,13.29,0.01,0.1037230249286866,9.11,finance,GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(9.1倍) / ⚠ペナルティ1件
60,1812.T,鹿島建設,52.5,31,67,76,⏸️ 様子見,6184.0,8.1,0.01,0.11134870242742477,19.49,infrastructure,政策(infrastructure) / GC形成中 / 割安 / ⚠信用過熱(19.5倍) / ⚠ペナルティ1件
61,6479.T,ミネベアミツミ,52.2,35,45,90,⏸️ 様子見,2776.5,29.8,0.03,0.08591327323386702,11.72,defense,🏛️政策主力(defense) / RSI底値圏 / ⚠信用過熱(11.7倍) / ⚠ペナルティ1件
62,2986.T,LAホールディングス,52.2,34,67,72,⏸️ 様子見,9260.0,6.8,0.01,0.1495038388997936,90.06,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(90.1倍) / ⚠ペナルティ1件
63,3407.T,旭化成,51.9,42,52,76,⏸️ 様子見,1616.5,22.17,0.01,0.05337312274386347,12.02,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(12.0倍) / ⚠ペナルティ1件
64,6501.T,日立製作所,51.8,31,67,74,⏸️ 様子見,4853.0,9.6,0.01,0.1125138844277283,31.82,green_energy,政策(green_energy) / GC形成中 / 割安 / ⚠信用過熱(31.8倍) / ⚠ペナルティ1件
65,9279.T,ギフトホールディングス,51.6,37,35,72,⏸️ 様子見,3880.0,163.7,0.06,0.036249674216268915,0.76,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 信用良好(0.8倍) / ⚠ペナルティ1件
66,8035.T,東京エレクトロン,51.2,27,58,84,⏸️ 様子見,38340.0,29.95,0.07,0.2371169338702782,3.43,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(3.4倍) / ⚠ペナルティ1件
67,7270.T,SUBARU,51.1,30,47,90,⏸️ 様子見,2624.5,22.09,0.01,0.043037910599723804,12.96,defense,🏛️政策主力(defense) / RSI底値圏 / ⚠信用過熱(13.0倍) / ⚠ペナルティ1件
